car_park_no,x_coord,y_coord,xy_coord,LatLng,Latitude,Longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
ACB,30314.7936,31490.4942,"30314.7936, 31490.4942","1.3010571246531804,103.85411804988033",1.3010571246531804,103.85411804988033,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y
ACM,33758.4143,33695.5198,"33758.4143, 33695.5198","1.3209980485169983,103.88506094748588",1.3209980485169983,103.88506094748588,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N
AH1,29257.7203,34500.3599,"29257.7203, 34500.3599","1.3282772191512717,103.84461988911718",1.3282772191512717,103.84461988911718,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
AK19,28185.4359,39012.6664,"28185.4359, 39012.6664","1.3690847475169592,103.83498485033613",1.3690847475169592,103.83498485033613,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
AK31,29482.029,38684.1754,"29482.029, 38684.1754","1.3661139697165128,103.84663563158024",1.3661139697165128,103.84663563158024,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK52,29889.3457,39382.8134,"29889.3457, 39382.8134","1.3724321490118094,103.85029569737912",1.3724321490118094,103.85029569737912,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
AK6,29283.7324,39647.8906,"29283.7324, 39647.8906","1.3748294337048514,103.84485384153025",1.3748294337048514,103.84485384153025,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AK83,31397.2241,39851.6191,"31397.2241, 39851.6191","1.3766717042359575,103.86384511302414",1.3766717042359575,103.86384511302414,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK9,29674.8184,40616.875,"29674.8184, 40616.875","1.3835925205347106,103.84836808661225",1.3835925205347106,103.84836808661225,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AM16,28267.0582,39151.8344,"28267.0582, 39151.8344","1.3703433266449656,103.83571828515038",1.3703433266449656,103.83571828515038,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
AM18,29257.6457,38619.9953,"29257.6457, 38619.9953","1.3655335609257098,103.84461939018905",1.3655335609257098,103.84461939018905,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N
AM19,28134.9305,38989.9965,"28134.9305, 38989.9965","1.3688797302752893,103.83453102381885",1.3688797302752893,103.83453102381885,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
AM20,29421.1502,38526.8611,"29421.1502, 38526.8611","1.3646912850531763,103.8460885860836",1.3646912850531763,103.8460885860836,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM22,29595.2539,38514.7606,"29595.2539, 38514.7606","1.3645818441078843,103.84765302631412",1.3645818441078843,103.84765302631412,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM32,28117.7689,39172.0389,"28117.7689, 39172.0389","1.3705260490297508,103.8343768155404",1.3705260490297508,103.8343768155404,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N
AM43,30669.2379,38959.5487,"30669.2379, 38959.5487","1.3686042523139272,103.85730354660322",1.3686042523139272,103.85730354660322,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AM46,30234.4145,39354.0323,"30234.4145, 39354.0323","1.3721718401219387,103.85339638436204",1.3721718401219387,103.85339638436204,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N
AM51,29489.025,39103.7605,"29489.025, 39103.7605","1.3699085292029851,103.8466985164609",1.3699085292029851,103.8466985164609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM64,30201.236,39274.274,"30201.236, 39274.274","1.3714505404986406,103.85309824600402",1.3714505404986406,103.85309824600402,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM79,30004.2224,39370.6063,"30004.2224, 39370.6063","1.3723217452972263,103.8513279455999",1.3723217452972263,103.8513279455999,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM80,28950.7223,39184.6976,"28950.7223, 39184.6976","1.3706405141998217,103.8418614904597",1.3706405141998217,103.8418614904597,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
